bi		152.00000		93.00000		70.00000		88.00000		71.00000		8.00000		413.00000		1.00000		0.00000		2.00000		72.00000		1135.00000		5.00000		436.00000		214.00000		12.00000		14.00000		203.00000		80.00000		599.00000		4.00000		12.00000		2.00000		0.00000		2.00000		22.00000		70.00000		
bj		1.00000		0.00000		0.00000		0.00000		507.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		1.00000		1.00000		3.00000		0.00000		3.00000		0.00000		0.00000		3.00000		0.00000		0.00000		0.00000		0.00000		0.00000		3.00000		
bk		0.00000		1.00000		1.00000		0.00000		1.00000		0.00000		1.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		0.00000		2.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		4.00000		
bl		603.00000		2.00000		0.00000		0.00000		4006.00000		0.00000		0.00000		1.00000		1442.00000		0.00000		0.00000		2.00000		6.00000		0.00000		629.00000		1.00000		0.00000		3.00000		3.00000		2.00000		177.00000		5.00000		0.00000		0.00000		562.00000		0.00000		7.00000		
bm		15.00000		0.00000		5.00000		2.00000		7.00000		1.00000		2.00000		0.00000		130.00000		0.00000		0.00000		3.00000		0.00000		0.00000		4.00000		0.00000		0.00000		2.00000		4.00000		0.00000		2.00000		1.00000		1.00000		0.00000		0.00000		0.00000		33.00000		
bn		8.00000		2.00000		1.00000		2.00000		3.00000		0.00000		0.00000		1.00000		4.00000		0.00000		0.00000		1.00000		0.00000		1.00000		15.00000		4.00000		0.00000		0.00000		1.00000		1.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		12.00000		
bo		364.00000		57.00000		7.00000		478.00000		18.00000		0.00000		23.00000		10.00000		39.00000		2.00000		9.00000		172.00000		73.00000		211.00000		890.00000		7.00000		1.00000		702.00000		107.00000		777.00000		2519.00000		245.00000		88.00000		194.00000		137.00000		3.00000		50.00000		
bp		14.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		1.00000		2.00000		0.00000		0.00000		3.00000		0.00000		1.00000		4.00000		0.00000		0.00000		7.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		18.00000		
bq		0.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		1.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		0.00000		1.00000		1.00000		2.00000		0.00000		0.00000		0.00000		1.00000		2.00000		0.00000		0.00000		4.00000		
br		806.00000		0.00000		3.00000		0.00000		607.00000		1.00000		0.00000		0.00000		1035.00000		0.00000		0.00000		0.00000		1.00000		0.00000		783.00000		0.00000		0.00000		1.00000		3.00000		0.00000		169.00000		0.00000		0.00000		0.00000		27.00000		1.00000		9.00000		
